Name,Year,Duration,Rating,Votes,Description,language
Rocky Aur Rani Kii Prem Kahaani,2023,2h 48m,6.7,41K,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Hindi
One Friday Night,2023,1h 32m,4.9,477,"Revolves around one stormy night, in an isolated villa a top a secluded hill.",Hindi
Bawaal,2023,2h 17m,6.6,16K,A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,Hindi
Minus 31: The Nagpur Files,2023,2h 14m,7.0,2.3K,"While investigating an important murder amidst the second wave of the pandemic, an impulsive cop uncovers the dark realities of the system and reconciles with her true self.",Hindi
Ajmer 92,2023,2h 21m,8.1,1.1K,The true events of the gang rape and blackmailing of over one hundred school and college-age girls in Ajmer.,Hindi
Trial Period,2023,1h 45m,7.2,6.4K,A working single mother's world turns upside down when her inquisitive son demands a new papa on a 30-day 'Trial Period'.,Hindi
Ishq-e-nadaan,2023,2h 35m,6.5,336,"Ashutosh's life changes when he meets Ramona at the hotel, which is his work place. On the other hand, Charulata grows friends with Subhash Kapoor, a filmmaker, and shares a secret with him. What is the secret?",Hindi
Checkmate,2023,1h 52m,8.0,24K,"An assassin gets hired for a job that throws him in a murky pool of mishaps, eventually leading to a baffling secret.",Hindi
Blind,2023,2h 4m,4.0,6.1K,"When a twist of fate leaves Gia blind, she must summon every ounce of courage to rebuild her life. But when she becomes the sole witness to a heinous crime, she unwittingly enters a deadly game of cat and mouse with a dangerous criminal.",Hindi
Neeyat,2023,2h 14m,5.3,4.3K,"When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Hindi
Sergeant,2023,2h 3m,3.8,428,"Sergeant suffers from severe depression after losing a limb on duty. After meeting Monica, he gains confidence and vows to reclaim his previous life by solving a critical case.",Hindi
Salmon 3D,2023,2h 22m,4.9,142,"Sarfarosh, wife Sameera and daughter Shaza are living their life in Dubai. While his wife and daughter go to their native town, his college mates arrange a surprise party for him. As they arrive in Dubai, a mysterious murder takes place.",Hindi
1922 Pratikaar Chauri Chaura,2023,1h 51m,8.6,522,"Uncover the concealed truth of the Chauri Chaura incident, which remained obscured throughout British rule while acknowledging the bravery of the unsung freedom fighters.",Hindi
Satyaprem Ki Katha,2023,2h 26m,7.1,29K,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Hindi
Lust Stories 2,2023,2h 12m,6.5,51K,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".",Hindi
1920: Horrors of the Heart,2023,2h 2m,2.8,4K,A young girl walks into a world of darkness is search of revenge but darkness consumes her making her a victim of that very revenge.,Hindi
Tiku Weds Sheru,2023,1h 52m,3.3,2.7K,"Tiku, who looks at marriage as her escape to Mumbai from a local town to become an actress and Sheru, who has been working as a junior artist in the city for years. They get married and the comedy of errors for this couple starts.",Hindi
Adipurush,2023,2h 59m,3.8,132K,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.,Hindi
I Love You,2023,1h 33m,5.5,5.6K,"Sathya is a highly successful corporate executive who look forward to a bright future with her fiance,Vishal.One night ,when she is about to board a fight to Delhi, Satya finds herself trapped within the office .What danger awaits her?",Hindi
Bloody Daddy,2023,2h 1m,6.6,21K,"A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.",Hindi
Zara Hatke Zara Bachke,2023,2h 12m,6.5,8.8K,"Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors.",Hindi
Mumbaikar,2023,2h 2m,4.8,693,"The story is based on the life of people at Mumbai which includes their happiness, drama, fun, and romance which interlink their lives.",Hindi
Chidiakhana,2023,1h 55m,7.1,520,"It is a coming-of-age story of a Bihari boy who is embraced by residents of a Marathi Chawl due to his grit, imagination and especially his footballing skills.",Hindi
Jogira Sara Ra Ra,2023,2h 1m,7.1,3.2K,"Jogi the match maker and Dimple who seeks help to him to get rid of her marriage, both face the consequences as it is eventually decided that Jogi will marry her to save face.",Hindi
Aazam,2023,2h,7.0,604,"Set in the underbelly of the Mumbai underworld, the succession battle of mafia don Nawab Khan, who is suffering from blood cancer and has only a few days to live. Who is the Aazam of this battle of defeat and victory?",Hindi
Chal Zindagi,2023,2h 10m,6.9,120,"Strangers Sana ,Sahil, Sada and Rana go on a bike trip to Leh, Ladakh with different objectives. Through their journey, their perceptions of life change and leave a deep impact on them",Hindi
La Vaste,2023,1h 56m,8.1,1.1K,"A man who has done B.Tech, gets the job of lifting unclaimed dead bodies in the name of job.A unique tale depicting the untold tragedy of unclaimed dead bodies in our society.",Hindi
Kennedy,2023,2h 22m,6.1,211,"An insomniac ex-cop who dwells in different circumstances looking for redemption. The ex-cop, who is presumed dead for a long time, operates secretly for the corrupt system.",Hindi
Agra,2023,2h 12m,7.4,387,A family and an exploration of space in an increasingly crowded world. It follows the quest for a sexual odyssey of an individual.,Hindi
Kathal: A Jackfruit Mystery,2023,1h 55m,6.7,8.1K,A local politician whose prized jackfruits go missing and a young police officer who is adamant to solve this bizarre case to prove herself.,Hindi
8 A.M,2023,1h 56m,7.1,153,"Two strangers inadvertently bump into each other in the metro and strike up an unlikely friendship, and in the process find themselves and each other.",Hindi
Chaar Lugaai,2023,,8.5,1.6K,"Women, who maintain every duty and responsibility of their married life, but while on that, they find themselves yearning for intimacy and affection. With their husbands staying afar, they let their suppressed urges come out on the surface which eventually leads to an unfortunate accident. Their attempts to hide their blunder would tickle your funny bone as they find themselves surrounded by obstacles they never thought they would have to face.",Hindi
Unlock Zindagi,2023,2h 31m,7.0,1.2K,"During the pandemic, for the first time, we had our backs against the wall, compelled to question our ways of life which resulted into an Un-Lockdown of ideas, thoughts and values.",Hindi
Anni Manchi Sakunamu,2023,2h 34m,6.1,587,"A guy who is very optimistic in life, though he is a big failure, falls in love with a girl. There are no good terms between the two families. The two try to get approval from their family members for a wedding.",Hindi
Sirf Ek Bandaa Kaafi Hai,2023,2h 12m,7.9,27K,A common man with honesty and integrity can take on the system when he has truth on his side.,Hindi
Bhagwan Bharose,2023,1h 34m,6.3,371,"Two young, impressionable kids whose ideas about faith are constantly questioned and changed as their little world expands and takes into its fold, their country's fast-changing socio-political landscape.",Hindi
IB 71,2023,1h 57m,7.2,10K,A spy action thriller about the two-front war between Indian intelligence agencies and the Pakistani establishment in 1971.,Hindi
Chatrapathi,2023,2h 4m,4.1,2.7K,Shivaji and his family are uprooted from their community in Sri Lanka and wind up as bonded labourers in Visakhapatnam. The situation worsens when his jealous stepbrother enters his life.,Hindi
Music School,2023,2h 5m,6.3,699,"This heart-warming 11-song musical is about how the prevailing Indian education system and parents put pressure on children to be competitive in their ""studies, thereby leaving no time for art and culture. Against this background, two music and drama teachers Mary and Manoj struggle to put up ""The Sound of Music"".",Hindi
Ab Dilli Dur Nahin,2023,,3.6,111,"Abhay Shukla, a boy from a small town in Bihar reaches Delhi in the desire of success. Abhay comes from a family that is struggling with difficulties. Abhay aims to appear in the IAS exam and achieve success.",Hindi
Titu Ambani,2023,1h 56m,6.0,284,"Titu.. His aspirations and dreams are far from his actions, he dreams with open eyes, and finds the shortest way to achieve his dreams. Despite despite his debt-ridden life, if you ask him, he is no less a dreamer than Ambani. Mosmi is the girl of today, living life on her own terms. She cannot compromise with her principles. Mosmi feels that Titu and she are made for each other but troubles arise when Titu's decisions endanger their love affair. This is a slice of life film, this simple love story of middle-class family conveys the big message of life in a very entertaining way.",Hindi
Afwaah,2023,2h 6m,5.6,3.4K,An advertising professional and a political heiress whose lives are upended by a viral social media rumour.,Hindi
Bad Boy,2023,2h 2m,7.1,8.6K,A light comedy about a good-for-nothing boy who falls in love with a studious girl from a conservative family. Thus the funny conflict and situations that pop up.,Hindi
U Turn,2023,2h 20m,6.3,3.4K,"Motorists who take an illegal U-turn on a flyover die mysteriously. Radhika, who is interning to be a journalist, is investigating it. However, she becomes the prime suspect by a twist of fate. What happens next?",Hindi
Kisi Ka Bhai Kisi Ki Jaan,2023,2h 25m,4.3,41K,"The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.",Hindi
Mrs Undercover,2023,1h 47m,5.7,9.7K,"A simple Indian housewife who is in fact a special undercover agent is called back on the job after 10 years of being undercover to take down a terrifying, psycho killer while maintaining her parallel life of a housewife.",Hindi
Walk,2023,1h 40m,6.6,116,"When the nation is shut down by a devastating Pandemic, one man must deliver his dead friend's son back to his mother, across 1000 miles of unforgiving lockdown territory.",Hindi
Gumraah,2023,2h 10m,6.5,5.6K,The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.,Hindi
Gaslight,2023,1h 51m,6.1,25K,"Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.",Hindi
Bholaa,2023,2h 24m,5.9,22K,"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.",Hindi
Chor Nikal Ke Bhaga,2023,1h 50m,7.4,53K,"A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.",Hindi
Bheed,2023,2h 4m,6.6,12K,The toughest times people had to face just to reach their homes.,Hindi
Kanjoos Makhichoos,2023,1h 56m,6.6,6.5K,"Jamnaprasad Pandey is infamous in the entire town as a miser whose family is fed up with his penny-pinching habits. However, little does the family know that these savings is to fulfill his father's wish of going on a char-dhaam yatra.",Hindi
Operation Mayfair,2023,1h 56m,2.4,1.1K,A detective hunts for a London-based serial killer who targets women in this gritty Hindi language thriller.,Hindi
Mrs,2023,2h 24m,7.3,9.4K,An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,Hindi
Shubh Nikah,2023,2h 5m,7.9,3.5K,"Families of two different cultures join hands and come together for love, humanity, and peace with a strong message of national integrity",Hindi
Am I Next,2023,1h 25m,5.4,364,"A sudden shock grabs the family of 14-year old Honey, when they get to know that their teenage daughter is pregnant. She was raped and now there is a long court battle to seek her right to terminate the pregnancy.",Hindi
Tu Jhoothi Main Makkaar,2023,2h 30m,6.0,27K,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.",Hindi
Sir Madam Sarpanch,2023,1h 44m,7.0,115,"When the US-raised girl from India, Ana, attempts to start a Library in her ancestral hometown in central India, her commendable intentions ignite a storm in the village's politics and bureaucracy. Her journey, in absurd and satirical ways, unveils how books can be seen as dangerous for a prevailing system in India. Ana then stands for the Village Council elections to deal with this impasse and she encounters further absurdity in the political and social systems.",Hindi
Gulmohar,2023,2h 11m,7.6,5K,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,Hindi
InCar,2023,,7.8,107,A kidnapped girl's terrifying journey of survival.,Hindi
Hide & Seek,2023,,8.8,113,Story revolves around a man named Omm and how one morning suddenly he starts facing uncertain circumstances unable to recall the previous night incidents he is left in a dilemma.,Hindi
Selfiee,2023,2h 28m,5.7,13K,"Bollywood superstar Vijay Kumar needs to obtain a new driving license from RTO officer Om Prakash Agarwal, a diehard fan of Vijay. A misunderstanding escalates into a feud which is played out in front of the entire country.",Hindi
Aatmapamphlet,2023,1h 30m,8.0,333,A young boy growing up amidst massive social and economic changes in 1990s India.,Hindi
Shehzada,2023,2h 22m,4.5,31K,"Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.",Hindi
Main Raj Kapoor Ho Gaya,2023,,9.2,579,"A man who despite being born in a world full of hoggish beliefs, chooses to live a life of truth and honesty. He believes the fact that God created everyone as equals. Can he fight the system with his beliefs?",Hindi
The Face of the Faceless by Tri Light Creation,2023,2h 16m,8.9,1.9K,"Based on Sr. Rani Maria, this tale depicts the trials and tribulations of a woman who rose above the boundaries of her religion, realized the universal oneness, and committed her life to women's empowerment.",Hindi
Joram,2023,1h 59m,7.5,1.1K,A father is on the run with his little baby girl to escape the ghosts of his past and the forces that want him dead.,Hindi
Operation Fryday,2023,2h 23m,4.0,218,A Muslim unwittingly gets involved in a terrorist bombing in Mumbai and decides to avenge the act.,Hindi
Pathaan,2023,2h 26m,5.9,154K,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Hindi
Gandhi Godse Ek Yudh,2023,1h 50m,6.8,8.5K,The fictional world where Mahatma Gandhi survives the attack on him and later meets Nathuram Godse in prison. Their conversation leads to a fiery debate between them.,Hindi
Mission Majnu,2023,2h 9m,7.1,44K,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.",Hindi
Chhatriwali,2023,1h 56m,6.7,11K,"Sanya is an unemployed chemistry genius looking for a job. However, she also wants to use her knowledge of chemistry to help young minds move beyond the taboos of sex with the right education.",Hindi
Junglemahal: The Awakening,2023,2h 23m,5.8,260,Loosely based on real incidents in the monsoon of mid 80s during the uprising of naxalites in eastern ghat range a group of travellers travels through the deep forests to reach the rescue camps. A series of mysterious incidents started taking place around them as the place is not what it seems.,Hindi
Shatranj,2023,1h 24m,5.7,1.1K,A men whose wife not ready to accept him has a husband despite of the fact that everyone else was telling that he is her husband.,Hindi
Lakadbaggha,2023,2h 9m,6.0,1.5K,"An animal loving vigilante Arjun Bakshi, unearths the fact that an underground illegal animal trade cell functions from Kolkata port. On investigating he chances upon a rare species of the Indian Striped Hyena (Lakadbaggha).",Hindi
Kuttey,2023,1h 49m,5.5,11K,"A van carrying crores of cash. One rainy night in the outskirts of Mumbai. Unaware of each other, three stray gangs cross paths on the hunt. Unfortunately, all of them have the same plan. Will they bite the bone or will they lose to greed?",Hindi
The Y,2023,1h 50m,6.6,2.6K,The Female Protagonist is a Mute. After her marriage the couple enters a new chapter of their life but face another dilemma which they least expect. They experience paranormal incidents and their daily life turns into a mysterious tale.,Hindi
Cirkus,2022,2h 19m,4.5,23K,"Two sets of identical twins are accidentally separated at birth. Several years later, when they are coincidentally in the same town, there is a lot of confusion and misunderstanding when people mistake them for each other.",Hindi
Jingle Vingle,2022,1h 36m,8.3,130,"Presenting India's First Christmas Themed Movie. A fun-filled, heart-warming Holiday Season film. Finally, Bollywood brings its own style to the Christmas story.",Hindi
Shadyantra,2022,1h 30m,3.2,136,"It's a story about greed, ambition, self-preservation, and revenge, and it stars Chandan Roy Sanyal and Kunaal Roy Kapur in key roles.",Hindi
Govinda Naam Mera,2022,2h 11m,6.5,10K,"The very charming Govinda Waghmare juggles his time and love between his wife Mrs. Waghmare and his girlfriend in this dose of chaos, confusion, and laughter.",Hindi
Trahimam,2022,1h 14m,8.5,1.1K,"Champa is a labourer in Dholpur village, where her employers and policemen gangrape her. As the culprits are directly related to the local MLA, they go scot free until a brave female SP steps in to bring the rape survivor justice.",Hindi
Salaam Venky,2022,2h 17m,6.6,2.1K,"Sujata, an ideal mother, who battled the most challenging situations one can ever face with a smile.",Hindi
Vadh,2022,1h 50m,7.2,5.9K,"After their son moves to USA, a middle-class married couple is relentlessly harassed by a loan shark.",Hindi
Blurr,2022,2h 7m,5.9,5.7K,"With progressive blindness setting in, Gayatri has to find answers to her twin sister's unlikely death. As the lines of reality keep getting blurred, is she ready to look the truth in the eye?",Hindi
Maarrich,2022,2h 6m,6.6,5.2K,A police official starts a wild goose chase to find a murderer. The journey unfolds deep dark secrets from the past which leads to a spine chilling face off in the finale,Hindi
Shadow Assassins,2022,2h 5m,8.3,386,"Nirbhay Kalita, a young ambitious boy who got sucked into vengeance after his dear ones are assassinated.",Hindi
Freddy,2022,2h 4m,7.4,34K,The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,Hindi
An Action Hero,2022,2h 10m,7.0,32K,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",Hindi
Before Life After Death,2022,2h 16m,7.5,478,"When a young woman, Gauri faces a tough choice, her only hope lies in an unlikely bond with Radhika, a doctor who is battling with a tragic past.",Hindi
Three of Us,2022,1h 39m,7.6,2.1K,"A delicate thread of emotions about love, loss, healing, awareness and liberation.",Hindi
Bhediya,2022,2h 36m,6.8,24K,"Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",Hindi
Qala,2022,1h 59m,7.2,7.4K,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",Hindi
Siya,2022,1h 57m,7.7,6.5K,"Siya, a 17-year-old rape survivor, decides to go against all odds and fight for justice after being held captive and repeatedly abused by a group of powerful men. Can she win against the perpetrators?",Hindi
India Lockdown,2022,1h 57m,7.2,9.3K,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.,Hindi
India's Sons,2022,1h 30m,9.6,175,,Hindi
Drishyam 2,2022,2h 20m,8.2,43K,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Hindi
Mister Mummy,2022,1h 37m,2.1,912,A couple with opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.,Hindi
